short_description,number,text
How to Deal with Spam,KB0000011,"How to Deal with Spam
Spam has increasingly become a problem on the Internet. While every Internet user receives some spam, email addresses posted to web sites or in newsgroups and chat rooms attract the most spam.
To reduce the amount of spam you receive:
Don't reply to spamBe careful releasing your email address, and know how it will be usedBe proactive  
Don't reply to spam
If you reply to spam, the spammer or the automated program on the other end will then know that your address is connected to a live person, and the spammer will then bombard you with even more spam, and circulate your address to other spammers. It is critical that you pause and think before replying to any spam. Consider the following guidelines:
Setting up your email account to generate automatic responses while you are away can have the unfortunate side-effect of verifying your email address to every spammer that sends you spam. If the message appears to come from a legitimate company, the company may have obtained your email address from some transaction between you and the company. In fact, you may have inadvertently provided your email address (e.g., if you didn't check a box marked Don't send me product updates). In these cases, it is usually safe to reply and ask to be removed from the mailing list. If it is not a company you recognize, use your judgment. To be safe, copy and paste the link to the company's site into the browser rather than clicking it in the email message. If the spam is clearly from a disreputable source, never respond. Do not follow the (probably bogus) unsubscribe directions. In most cases, if you never reply, the network of spammers will eventually decide your email address is a dud, and will stop using it as often.
Be careful releasing your email address, and know how it will be used
Every time you communicate on the Internet or browse a web site, there are opportunities for spammers to intercept your communications to obtain your email address and other personal information.
Otherwise reputable companies may sell or exchange your email address with other companies, and this information may eventually find its way to a spammer. At worst, spammers will use automated programs to bombard these lists of email addresses with spam. Consider the following guidelines:
Subscribe only to essential discussion lists, and ensure that they are moderated. Think twice before offering your email address to a web site. You may wish to check the site's privacy policy first to be sure it uses secure technology, and that the company does not share your email address with others. If you need to list email addresses on your web site, present the addresses in a way that makes them less vulnerable to collection and abuse by spammers.Every time you are asked for your email address verbally or on paper, think carefully about whether or not you want to receive any information from that company or organization. It is usually best to decline to provide your email address. Whenever possible, advocate that organizations you are involved in or do business with default to the opt-in model. This requires you to specifically request to be added to their email lists, rather than the opt-out model, where they add you to email lists automatically, and then give you the option of asking to be removed. 
Be proactive
Adjusting the security settings in your web browser is a good preventive measure. For a higher level of security, have your browser disallow:
Accepting cookiesListing your name and other personal information in your browser profileFilling in form fields for you
This will help reduce the amount of personal information transmitted to sites at the expense of full functionality, since many legitimate web sites require you to accept cookies.
Do not contribute to the spam problem by producing any of it yourself! In particular, learn about chain mail and do not forward chain mail to others. Also, if you receive an email message that appears to warn of some horrible thing happening (a virus that reportedly deletes all your files, for example) or is a touching sob story (about helping to save a poor sick girl or boy, for example), be suspicious.
Nearly every instance of chain mail is a hoax. The message may even come from someone you know and respect who is simply not aware that it's a hoax. Learn about hoaxes and the sites available to verify hoaxes, and do not forward them to others. 
Questions regarding X-rated spam (unsolicited mass e-mail)
 Some members of the Company have at times expressed concern to IT regarding their own accountability for unsolicited e-mail of a sexual nature sent to their Company e-mail address. In some cases, an employee worries that a supervisor or co-worker might think the employee solicited the mail. In other cases, the person fears that an IT employee asked to assist with the computer might think the person had solicited the sexually-oriented mail.
Most people who either have experienced spam or have read about spam understand that spammers do not wait to be asked; they are in the business of aggressive marketing. Many spammers are deceitful, trying to fool people into opening their unwanted e-mail by pretending to be someone else or using a subject line which fools the recipient into opening the mail. Sometimes they claim falsely that the person is receiving the e-mail because the person asked for it, or expressed interest in material of a similar nature. The truth is that few people welcome spam and even fewer ask for it.
If a supervisor or co-worker thinks otherwise, IT can reassure them. Certainly, IT technicians and consultants understand that spam is a plague and not something invited by the recipient. As extra protection, depending upon how you receive your e-mail on campus, there are ways to quarantine spam and/or filter your incoming e-mail.  It is advisable to immediately delete any such emails you receive."
"Where can I obtain updates and new releases?
		",KB0000012,"Where can I obtain updates and new releases for Mac OS X? 
To find updates and new releases for Mac OS X, try any of the following options:
Use Software Update to download and install updates, and even full releases, of the operating system. To download the full version of Mac OS X 10.9 (Mavericks), open the Mac App Store, available in Mac OS X 10.6.6 and later. You may access it from the Apple menu. You can also buy other software products from Apple and third-party developers in the App Store.To order Apple merchandise, visit the Apple Store or call 800-MY-APPLE. For information about upgrades, call 800-785-9445. 
 "
"Are Copyrighted Files Illegal to Have On My
			Computer?
		",KB0000009,"Are Copyrighted Files Illegal to Have On My Computer?
Tools built to make use of the Internet easier have created special concerns for the holders of copyright. While it takes time and energy for someone to photocopy all the pages of a book, it takes scarcely any time for someone to download an album of music, a feature film, an episode of a television show, or a computer game. Sometimes, because it is easy to download copyrighted material, it is tempting to believe it is legal to do so.
But it is legal only if the material being downloaded is in the public domain, if the copyright holder has given you permission to make a copy of the material, or if you are making copies for purposes of criticism, comment, news reporting, scholarly or instructional purposes such that the ""fair use"" exception under federal copyright law applies. However, most contemporary music, film, television shows, computer games, and computer software are not likely to be in the public domain. Nor is it likely that downloading such materials in their entirety for entertainment purposes without permission from the rights-holder will meet the ""fair use"" criteria.
Therefore, if you do not know whether material is copyrighted or not, assume that it is, and proceed accordingly.
But what if I own legal copies of the material?
Even if you have legally obtained copies of copyrighted materials on your computer, you must be careful to protect those copies against unauthorized copying by others.
In particular, file sharing technologies such as BitTorrent, and so-called ""private"" sharing networks (to the extent you have reason to use such technologies for legitimate purposes) should be used responsibly and with great care to ensure that copyrighted materials are not being made available for copying by others not legally entitled to do so. Indeed, failure to restrict unauthorized access to copyrighted materials stored on your computer may constitute contributory infringement under federal copyright law.
What is legal to download?
Some material is in the public domain, and is available through web or file transfer sites maintained for that purpose. Some recording artists and some television studios provide streaming versions of performances for your viewing or listening.  And some performers do give permission to copy and share some of their work.
How will the rights-holder know?
The music industry, the film and television industry, and organizations representing software manufacturers and firms creating computer games, have become increasingly concerned about copyright infringement via the Internet, and have pursued the infringers - sometimes filing lawsuits against the individuals. Other kinds of copyrighted materials also are of concern.
Just as some Employees search the Internet for music, films, or other material they would like, the rights-holders or their agents often search the Internet for computers that are holding and/or distributing unauthorized copies. When rights-holders find an unauthorized copy of a work, they often file an infringement complaint with the service provider. Sometimes, they file a lawsuit. And under some circumstances, they may file criminal charges.
The Company is the service provider for its employees. Unless these complaints are addressed promptly, the Company may also be held liable for infringement. So if you use the Company network to make illegal copies, or if you fail to protect legally obtained copies on your computer, you put yourself and the Company at risk.
What happens if I get caught?
Penalties for copyright infringement include civil and criminal penalties. In general, anyone found liable for civil copyright infringement may be ordered to pay either actual damages or ""statutory"" damages affixed at not less than $750 and not more than $30,000 per work infringed. For ""willful"" infringement, a court may award up to $150,000 per work infringed. A court can, in its discretion, also assess costs and attorney's fees. For details see Title 17, United States Code, Sections 504, 505.
Willful copyright infringement can also result in criminal penalties, including imprisonment of up to five years and fines of up to $250,000 per offense.
Violation of federal copyright law is also a violation of Company regulations and will be reported to appropriate disciplinary authorities. Employees may receive a warning, disciplinary probation, or other, even more serious, penalty as a result of infringement. Company policy also requires that loss of computing and network privileges be considered as part of the penalty in cases of repeated infringement.
Does IT scan my computer for illegal files?
Although most campus copyright infringement is revealed when the Company receives complaints from the rights-holder or agent, some unauthorized service of music, films, television, computer games, and proprietary software has been discovered by IT simply because of the network performance problems caused by the traffic.
In such cases, IT does not peruse files, but makes inferences which it reports to the appropriate disciplinary authority, while notifying the employee of the potential disciplinary and legal action. As a general matter, the Company is committed to protection of privacy, unless intrusion is warranted, and does not actively monitor its computing network for purposes of seeking out infringing activity on the part of its users. Further, the language of the Digital Millennium Copyright Act makes it clear that the service provider is not expected to be aware of content carried through its services, only to be properly responsive when alleged infringement is reported.
Please be aware the Company cannot knowingly assist you in illegal activity, such as making unauthorized copies or sharing copyrighted materials without authorization. To do so would be to participate in violating federal law and, in acting as agents of the Company, staff are forbidden to do so.
 "
Create An Email Signature		,KB0000024,"Create An Email Signature
To create a personalized email signature:
Open a new message. On the Message tab, in the Include group, click Signature, and then click Signatures.On the E-mail Signature tab, click New.Type a name for the signature, and then click OK.In the Edit signature box, type the text that you want to include in the signature.To format the text, select the text, and then use the style and formatting buttons to select the options that you want.To add elements besides text, click where you want the element to appear, and then do any of the following:

Options

How to

To add an electronic business card

Click Business Card, and then click a contact in the Filed As list. Then click OK

To add a hyperlink

Click Insert Hyperlink, type in the information or browse to a hyperlink, click to select it, and then click OK

To add a picture

Click Picture, browse to a picture, click to select it, and then click OK. Common image file formats for pictures include .bmp, .gif, .jpg, and .png.

To finish creating the signature, click OK.
NOTE:
The signature that you just created or modified won't appear in the currently open message; it must be inserted into the message."
What is Spam?,KB0000029,"What is Spam?
Spam has increasingly become a problem on the Internet. While every Internet user receives some spam, email addresses posted to web sites or in newsgroups and chat rooms attract the most spam.'
Definitions
The term ""spam"" is Internet slang that refers to unsolicited commercial email (UCE) or unsolicited bulk email (UBE). Some people refer to this kind of communication as junk email to equate it with the paper junk mail that comes through the US Mail. Unsolicited email most often contains advertisements for services or products, but very few reputable marketers use UCE to advertise. The most commonly seen spam includes the following:
Phishing scams, a very popular and dangerous form of email fraudForeign bank scams or advance fee fraud schemesPyramid schemes, including multilevel marketing (MLM)Other ""Get Rich Quick"" or ""Make Money Fast"" (MMF) schemesQuack health products and remediesAds for pornographic web sitesOffers of software for collecting email addresses and sending UCEOffers of bulk emailing services for sending UCEChain letters (see About chain mail)Illegally pirated software (""Warez"")
 
To reduce the amount of spam you receive:
Don't reply to spamBe careful releasing your email address, and know how it will be usedBe proactive  
Don't reply to spam
If you reply to spam, the spammer or the automated program on the other end will then know that your address is connected to a live person, and the spammer will then bombard you with even more spam, and circulate your address to other spammers. It is critical that you pause and think before replying to any spam. Consider the following guidelines:
Setting up your email account to generate automatic responses while you are away can have the unfortunate side-effect of verifying your email address to every spammer that sends you spam. If the message appears to come from a legitimate company, the company may have obtained your email address from some transaction between you and the company. In fact, you may have inadvertently provided your email address (e.g., if you didn't check a box marked Don't send me product updates). In these cases, it is usually safe to reply and ask to be removed from the mailing list. If it is not a company you recognize, use your judgment. To be safe, copy and paste the link to the company's site into the browser rather than clicking it in the email message. If the spam is clearly from a disreputable source, never respond. Do not follow the (probably bogus) unsubscribe directions. In most cases, if you never reply, the network of spammers will eventually decide your email address is a dud, and will stop using it as often.
Be careful releasing your email address, and know how it will be used
Every time you communicate on the Internet or browse a web site, there are opportunities for spammers to intercept your communications to obtain your email address and other personal information.
Otherwise reputable companies may sell or exchange your email address with other companies, and this information may eventually find its way to a spammer. At worst, spammers will use automated programs to bombard these lists of email addresses with spam. Consider the following guidelines:
Subscribe only to essential discussion lists, and ensure that they are moderated. Think twice before offering your email address to a web site. You may wish to check the site's privacy policy first to be sure it uses secure technology, and that the company does not share your email address with others. If you need to list email addresses on your web site, present the addresses in a way that makes them less vulnerable to collection and abuse by spammers.Every time you are asked for your email address verbally or on paper, think carefully about whether or not you want to receive any information from that company or organization. It is usually best to decline to provide your email address. Whenever possible, advocate that organizations you are involved in or do business with default to the opt-in model. This requires you to specifically request to be added to their email lists, rather than the opt-out model, where they add you to email lists automatically, and then give you the option of asking to be removed. 
Be proactive
Adjusting the security settings in your web browser is a good preventive measure. For a higher level of security, have your browser disallow:
Accepting cookiesListing your name and other personal information in your browser profileFilling in form fields for you
This will help reduce the amount of personal information transmitted to sites at the expense of full functionality, since many legitimate web sites require you to accept cookies.
Do not contribute to the spam problem by producing any of it yourself! In particular, learn about chain mail and do not forward chain mail to others. Also, if you receive an email message that appears to warn of some horrible thing happening (a virus that reportedly deletes all your files, for example) or is a touching sob story (about helping to save a poor sick girl or boy, for example), be suspicious.
Nearly every instance of chain mail is a hoax. The message may even come from someone you know and respect who is simply not aware that it's a hoax. Learn about hoaxes and the sites available to verify hoaxes, and do not forward them to others. 
 
Questions regarding X-rated spam (unsolicited mass e-mail)
 
Some members of the Company have at times expressed concern to IT regarding their own accountability for unsolicited e-mail of a sexual nature sent to their Company e-mail address. In some cases, an employee worries that a supervisor or co-worker might think the employee solicited the mail. In other cases, the person fears that an IT employee asked to assist with the computer might think the person had solicited the sexually-oriented mail.
Most people who either have experienced spam or have read about spam understand that spammers do not wait to be asked; they are in the business of aggressive marketing. Many spammers are deceitful, trying to fool people into opening their unwanted e-mail by pretending to be someone else or using a subject line which fools the recipient into opening the mail. Sometimes they claim falsely that the person is receiving the e-mail because the person asked for it, or expressed interest in material of a similar nature. The truth is that few people welcome spam and even fewer ask for it.
If a supervisor or co-worker thinks otherwise, IT can reassure them. Certainly, IT technicians and consultants understand that spam is a plague and not something invited by the recipient. As extra protection, depending upon how you receive your e-mail on campus, there are ways to quarantine spam and/or filter your incoming e-mail.  It is advisable to immediately delete any such emails you receive."
"What are phishing scams and how can I avoid them?
		",KB0000028,"Phishing explained
Phishing Explained
Phishing scams are typically fraudulent email messages appearing to come from legitimate enterprises (e.g., your company, your Internet service provider, your bank). These messages usually direct you to a spoofed web site or otherwise get you to divulge private information (e.g., passphrase, credit card, or other account updates). The perpetrators then use this private information to commit identity theft.
One type of phishing attempt is an email message stating that you are receiving it due to fraudulent activity on your account, and asking you to ""click here"" to verify your information.
Phishing scams are crude social engineering tools designed to induce panic in the reader. These scams attempt to trick recipients into responding or clicking immediately, by claiming they will lose something (e.g., email, bank account). Such a claim is always indicative of a phishing scam, as responsible companies and organizations will never take these types of actions via email.
Specific types of phishing
Phishing scams vary widely in terms of their complexity, the quality of the forgery, and the attacker's objective. Several distinct types of phishing have emerged.
Spear phishing
Phishing attacks directed at specific individuals, roles, or organizations are referred to as ""spear phishing"". Since these attacks are so pointed, attackers may go to great lengths to gather specific personal or institutional information in the hope of making the attack more believable and increasing the likelihood of its success.
The best defense against spear phishing is to carefully, securely discard information (i.e., using a cross-cut shredder) that could be used in such an attack. Further, be aware of data that may be relatively easily obtainable (e.g., your title at work, your favorite places, or where you bank), and think before acting on seemingly random requests via email or phone.
Whaling
The term ""whaling"" is used to describe phishing attacks (usually spear phishing) directed specifically at executive officers or other high-profile targets within a business, government, or other organization.
Avoiding phishing scams
The Company and other reputable organizations will never use email to request that you reply with your passphrase, Social Security number, or confidential personal information. Be suspicious of any email message that asks you to enter or verify personal information, through a web site or by replying to the message itself. Never reply to or click the links in a message. If you think the message may be legitimate, go directly to the company's web site (i.e., type the real URL into your browser) or contact the company to see if you really do need to take the action described in the email message.
When you recognize a phishing message, delete the email message from your Inbox, and then empty it from the deleted items folder to avoid accidentally accessing the web sites it points to.
Always read your email as plain text.
Phishing messages often contain clickable images that look legitimate; by reading messages in plain text, you can see the URLs that any images point to. Additionally, when you allow your mail client to read HTML or other non-text-only formatting, attackers can take advantage of your mail client's ability to execute code, which leaves your computer vulnerable to viruses, worms, and Trojans.
Warnings
Reading email as plain text is a general best practice that, while avoiding some phishing attempts, won't avoid them all. Some legitimate sites use redirect scripts that don't check the redirects. Consequently, phishing perpetrators can use these scripts to redirect from legitimate sites to their fake sites.
Another tactic is to use a homograph attack, which, due to International Domain Name (IDN) support in modern browsers, allows attackers to use different languagecharacter sets to produce URLs that look remarkably like the authentic ones.
Reporting phishing attempts
If the phishing attempt targets the Company in any way (e.g., asks for the Company's Webmail users to ""verify their accounts"", includes a malicious PDF directed to human resources, or impersonates the Company), forward it with full headers to the Company Information Security Office. You can report a phishing scam attempt to the company that is being spoofed. You can also send reports to the Federal Trade Commission (FTC). Depending on where you live, some local authorities also accept phishing scam reports. Finally, you can send details to the Anti-Phishing Working Group, which is building a database of common scams to which people can refer.
Example of a phishing scam
The following phishing scam was targeted at Servicenow users:
-----------------------------------------------------------------

From: ""SERVICENOW.ORG SUPPORT TEAM"" <supportteam01@indiana.edu>
Reply-To: ""SERVICENOW.ORG SUPPORT TEAM"" <spupportteam@info.lt>
Date: Sat, 12 Jul 2008 17:42:05 -0400
To: <""Undisclosed-Recipient:;""@iocaine.uits.indiana.edu>
Subject: CONFIRM YOUR ACCOUNT

Dear SERVICENOW.ORG Webmail Subscriber

This mail is to inform all our {SERVICENOW.ORG} webmail users that we
will be maintaining and upgrading our website in a couple of days from
now.As a Subscriber you are required to send us your Email account
details to enable us know if you are still making use of your
mailbox. Be informed that we will be deleting all mail account that is
not functioning to enable us create more space for new employees and
managers in the company, You are to send your mail account details which
are as follows:

*User Name:
*Password:
*Date of birth:

Failure to do this will immediately render your email address deactivated from our database.

Thank you for using SERVICENOW.ORG
FROM THE SERVICENOW.ORG SUPPORT TEAM

------------------------------------------------------------------"
About Windows 10,KB0000016,"Introducing Windows 10 Windows 10 is full of new features and improvements. Take a look at the highlights!
Ready, set, Start menu The Start menu is back—and it’s more personal, more organized, and more fun than before.Select the Start icon button on the taskbar. You'll find your most used apps on the left, the all apps list, and shortcuts to other locations on your PC, like File Explorer and Settings.
Get apps, music, and more The Store is a one-stop shop for music, videos, games, and apps.Try out an app before you buy it, or pick a free one. Your Windows 10 apps will work on all your Windows 10 devices.
Cortana can get it done Cortana, your personal assistant, is right on your desktop. Ask her to set up a meeting or send an email to a friend. She can even find your files for you and tell you jokes.Select the search box and type what you want Cortana to do, or just select the microphone to talk with her instead.
Rule the web with Microsoft Edge Microsoft Edge is the first browser that lets you take notes, write, doodle, and highlight directly on webpages. Use the reading list reading list icon to save your favorite articles for later, then read them in reading view reading view icon.Hover over open tabs to preview them, and bring your favorites and reading list with you when you use Microsoft Edge on another device. Plus, Cortana is built in to Microsoft Edge to help you do things faster and easier.
Where you can type, you can write Microsoft Edge isn't the only app you can write in. Use your tablet pen, finger, or your mouse to write everywhere you could type before. Or just doodle in OneNote. We won't tell.
Sign in and greet the day with Windows Hello If it’s available on your device, Windows Hello changes how you sign in—it uses your face or fingerprint instead of a password. Go to Settings > Accounts > Sign-in options to set it up.
All your photos in one place No more endless searching. The Photos app collects all your photos and videos in one place.From your phone, and your PC, and OneDrive. Then, it organizes your memories into albums for you to enjoy and share. For more information go to this link"
What is the Windows key?		,KB0000017,"What is the Windows key?
The Windows key is a standard key on most keyboards on computers built to use a Windows operating system. It is labeled with a Windows logo, and is usually placed between the Ctrl and Alt keys on the left side of the keyboard; there may be a second identical key on the right side as well.
Pressing Win (the Windows key) on its own will do the following:
Windows 8.x: Toggle between the Start screen and the current applicationWindows 7 or Vista: Bring up the Start menu
Pressing Win in combination with other keys will access shortcuts; these will vary based on the version of Windows you are using. For a list of shortcuts, see Wikipedia: Windows key.
If your keyboard does not have a Windows key, you can access the Start menu, but not other shortcuts, by pressing Ctrl-Esc. If you are running Windows on a Mac in Boot Camp, the Command key functions as the Windows key."
"Managing Settings in Internet Explorer 10 for
			Windows 8
		",KB0000003,"Summary Learn to set up a home page, connection settings, and parental control in Internet Explorer. Solution    Want to set up a default home page? Want to set up your Internet connection? Need to block the types of sites that display on your computer? Learn how to do all this in Internet Explorer using the steps below. For all PC browser-related articles see Manage Your PC Browser. We do not support all browsers. The following information is for reference only. For specific information on using Internet Explorer 10 visit Microsoft.com.    This is outdated for older XP users. Windows XP Service Pack 2 (SP2) contains a collection of new technologies designed to help keep your PC and your personal information more secure. SP2 also makes it easier to monitor these settings with the new Windows Security Center, available through the Control Panel. The Security Center lets you check the status of your essential security settings. You can also use it to find information about the latest virus or other security threat or to get customer support from Microsoft for a security-related issue. To open Security Center  1.  Click Start and then click Control Panel.  Control Panel with new Security Center icon   2.  Double-click Security Center. You should see a window that looks like the one below.  Security Center   Security Center checks to make sure you have: • A software firewall. • An up-to-date antivirus program. • Automatic Updates set to download and install updates automatically.  If the Security Center detects that your computer might benefit from enhanced security in one of the three essential areas listed above, it displays an alert in the notification area (to the right of the taskbar, above the clock). You will see an alert like the one below every time you log on, until the problem is fixed.  Security settings alert  Tip To find out how to address a problem, click any alert and the Security Center will open. In the Security Center, click Recommendations. Note If your computer is part of a domain (a group of computers on a network), your security settings are typically managed by your network administrator. In this case, the Security Center does not display your security status or send alerts. Windows Security Center checks for many common antivirus and firewall programs, but it's possible that you might be using a program that Windows can't find. For more information about using antivirus and firewall software that Windows doesn't find, read Monitor Your Firewall and Antivirus Software"
"How can I find the MAC address of my Ethernet or
			wireless interface?
		",KB0000031," 
How can I find the MAC address of my  Ethernet or wireless interface in Mac OS X? 
In Mac OS X, your MAC (Media Access Control) address is distinct from the IP address assigned to your Mac, and is defined by the hardware of each Ethernet orAirPort interface. The MAC address is sometimes also called the Ethernet Hardware Address (EHA).
To find your MAC address, from the Apple menu, select System Preferences.... From the View menu in System Preferences, select Network.
In the left column of the Network preference window that opens, click the name of your connection (e.g., Wi-Fi, AirPort, Ethernet, Built-in Ethernet). Click theAdvanced... button, and in the sheet that drops down, click the Hardware,Ethernet, or AirPort tab. The address is the string of letters and numbers next to ""MAC Address:"", ""Ethernet ID:"", or ""AirPort ID:"".
 "
